date_key,year,month,day,day_of_week,is_weekend,is_american_holiday,american_holiday_name,is_canadian_holiday,canadian_holiday_name
5360aa96-5c92-472b-896c-f3a54c5c72f8,2018,1,11,Thursday,False,False,,False,
fbf26b3b-5efc-4369-98ac-312498362e09,2016,5,9,Monday,False,False,,False,
a0b0375b-8ee8-478a-ad0b-77ca3884535e,2016,5,4,Wednesday,False,False,,False,
63d1f130-0695-47d7-a7db-b9d4b7a149f2,2016,4,14,Thursday,False,False,,False,
293cca42-506b-453f-9393-35086a2fa2f5,2017,6,17,Saturday,True,False,,False,
ae56b5d2-d17c-477b-8760-69da8c5e5536,2016,4,18,Monday,False,False,,False,
7366e4f3-e17d-45c7-a43e-2afd5fb11b1e,2017,3,21,Tuesday,False,False,,False,
8f710420-60e1-4eb8-bbec-7af6110e0060,2017,6,15,Thursday,False,False,,False,
329e5a5f-c00a-4ad2-9e8b-124714c65901,2017,4,21,Friday,False,False,,False,
d8a02243-0f1c-41b2-b890-c4832b0ea612,2017,11,26,Sunday,True,False,,False,
63988b39-5681-408f-af00-3befcfc111a1,2016,4,7,Thursday,False,False,,False,
e5605ba3-a878-4196-a39f-e7bb11eb7e04,2017,7,4,Tuesday,False,True,Independence Day,False,
7748732f-1c72-4399-8fa2-23668f249702,2017,3,29,Wednesday,False,False,,False,
fb1375b0-62f8-40b8-a11b-e3fdb7e69438,2017,9,1,Friday,False,False,,False,
e3f97946-7d7b-4c53-883f-17b6ab5a4ab7,2016,4,28,Thursday,False,False,,False,
65b7486b-18cc-4c47-957e-4740f657c2e4,2017,7,2,Sunday,True,False,,False,
8c88764b-0eef-4f88-956f-e3186c0b461b,2017,6,12,Monday,False,False,,False,
57832d9d-c1af-4d62-88fc-ccc35348f2a0,2016,5,28,Saturday,True,False,,False,
b8bd9a05-c6f9-41bb-90fc-36793102de98,2017,5,27,Saturday,True,False,,False,
13e96017-676e-4be5-addd-9709df82d272,2017,10,14,Saturday,True,False,,False,
485cc9b8-293a-4c0b-a2df-b32455831324,2017,9,2,Saturday,True,False,,False,
d860076f-6e14-43f4-9b91-2973d68e35c6,2017,7,9,Sunday,True,False,,False,
500c5fba-a927-42b6-8e21-d8870aee3c28,2016,4,29,Friday,False,False,,False,
ee0bbf30-194e-48c0-856d-8819cf46cccb,2016,5,2,Monday,False,False,,False,
3b02e8df-382b-4369-9249-17242c2b7a6d,2018,1,19,Friday,False,False,,False,
d57be67e-1419-4958-bb76-2ea88147c891,2017,8,26,Saturday,True,False,,False,
50809972-ec94-4745-9d7e-c4568e2c92f7,2017,1,12,Thursday,False,False,,False,
dcdd6fef-9bff-4291-be35-729ebacc2d63,2016,4,2,Saturday,True,False,,False,
7bf2acec-f62c-4d2e-8a6c-48b41fd594df,2016,5,13,Friday,False,False,,False,
b4b8b99b-4b59-4477-866b-1a496c5fa3b9,2016,5,30,Monday,False,True,Memorial Day,False,
e0ffa7a8-b2e6-4869-af1a-9df841d47edc,2017,5,5,Friday,False,False,,False,
755d1886-dc99-4b38-89e2-5f9646461f67,2016,6,24,Friday,False,False,,False,
b18d4094-1784-4878-89c4-9e024969a1de,2018,1,9,Tuesday,False,False,,False,
40be51d4-183d-4547-86a1-ab84af334cee,2017,6,18,Sunday,True,False,,False,
9d590b7f-7c64-4e2a-a7aa-7e2f1922aee0,2018,1,15,Monday,False,True,"Martin Luther King, Jr. Day",False,
74310b41-d01d-43a0-96e9-2458a1a12f95,2018,3,8,Thursday,False,False,,False,
1406916f-f127-456c-9b57-74bca0ee382d,2018,3,7,Wednesday,False,False,,False,
de11ce9f-aa8f-48e2-aac8-176100b9e88e,2018,3,5,Monday,False,False,,False,
a4975a80-1bc0-4c5c-9f5c-2a49badfb26f,2018,3,6,Tuesday,False,False,,False,
5a452b74-83b1-4485-8cc6-32500ed134b5,2018,3,9,Friday,False,False,,False,
101342aa-6570-4cb1-8647-d0cb2891b592,2018,3,3,Saturday,True,False,,False,
ee6ce2f1-0ca8-4ff2-b3b1-3d0fb57a2f9d,2018,3,1,Thursday,False,False,,False,
49a0f665-bb33-43aa-8752-adb753b8d6ce,2018,3,4,Sunday,True,False,,False,
af96c065-c798-47e6-b747-658fffad9f93,2018,4,12,Thursday,False,False,,False,
08075e5f-fef4-4a42-a85c-8c0e77c4de95,2017,12,24,Sunday,True,False,,False,
f3634f93-427d-48b7-a80e-c1c583abf2a6,2018,4,16,Monday,False,False,,False,
08556c6f-ea7e-414f-aab7-809da3bcc836,2018,4,15,Sunday,True,False,,False,
a169fa89-cf89-4afb-92fa-4b7d53409f0e,2018,4,13,Friday,False,False,,False,
701f7214-68c4-42b9-b746-d15b48893cfc,2018,2,8,Thursday,False,False,,False,
aef32cd5-da99-42b1-b176-f065221f758c,2018,4,11,Wednesday,False,False,,False,
f3616af4-cb1e-4606-8242-6f31e8a25a83,2018,2,9,Friday,False,False,,False,
b73c6d21-f19f-4ab1-a631-dc72bd4581de,2015,2,19,Thursday,False,False,,False,
65e3b7ba-4ed7-4b59-aff8-39a701dadc65,2018,3,23,Friday,False,False,,False,
3bc200d6-859b-4c30-a821-11dc508277e3,2018,2,17,Saturday,True,False,,False,
9a56ad9b-40d7-4e38-9d41-cd67b9990692,2017,12,30,Saturday,True,False,,False,
644192cd-deb2-45e8-b339-ea57b1aeea83,2018,4,6,Friday,False,False,,False,
ffa96c26-9cd0-4de2-ae34-1fe08488991d,2018,4,17,Tuesday,False,False,,False,
66c577e4-3d25-4481-a4e2-7a55d2586fc2,2018,4,14,Saturday,True,False,,False,
