event_key,event_name,event_year,event_month,event_day,event_hour,event_minute,event_type,event_genre,event_venue_name,event_address,event_postal_code,event_latitude,event_longitude
2408d5ec-3951-421e-b440-99c93752d791,Seattle Sounder FC at Vancouver Whitecaps,2017,8,23,19,0,Sports,Soccer,BC Place,834 Pacific Boulevard,V6B 4Y65,49.276666999999996,-123.111944
3d32f9f4-8243-422f-bf76-1c8652822574,Real Salt Lake at Vancouver Whitecaps,2017,9,9,19,0,Sports,Soccer,BC Place,835 Pacific Boulevard,V6B 4Y66,49.276666999999996,-123.111944
ffa51a0a-99d1-4657-b129-1a42ad4b0d97,Minnesota United FC at Vancouver Whitecaps,2017,9,13,19,0,Sports,Soccer,BC Place,836 Pacific Boulevard,V6B 4Y67,49.276666999999996,-123.111944
53dd9094-5bf7-4463-b56b-236faf246fee,Columbus Crew SC at Vancouver Whitecaps,2017,9,16,16,0,Sports,Soccer,BC Place,837 Pacific Boulevard,V6B 4Y68,49.276666999999996,-123.111944
a400d739-a3f2-47f7-bdd6-f780561d47ef,Colorado Rapids at Vancouver Whitecaps,2017,9,23,19,0,Sports,Soccer,BC Place,838 Pacific Boulevard,V6B 4Y69,49.276666999999996,-123.111944
040953b5-ef20-4ca9-a9fa-4617bcdf5395,San Jose Earthquakes at Vancouver Whitecaps,2017,10,25,19,30,Sports,Soccer,BC Place,839 Pacific Boulevard,V6B 4Y70,49.276666999999996,-123.111944
c94130a3-68c4-4dce-9c45-0727888f8a31,Seattle Sounder FC at Vancouver Whitecaps,2017,10,29,17,30,Sports,Soccer,BC Place,840 Pacific Boulevard,V6B 4Y71,49.276666999999996,-123.111944
f0ebe024-dc26-4188-ad99-56ad76496615,Montreal Impact at Vancouver Whitecaps,2018,3,4,15,0,Sports,Soccer,BC Place,841 Pacific Boulevard,V6B 4Y72,49.276666999999996,-123.111944
990daf80-378d-453b-9701-0a46732a481e,Los Angeles Galaxy at Vancouver Whitecaps,2018,3,24,19,0,Sports,Soccer,BC Place,842 Pacific Boulevard,V6B 4Y73,49.276666999999996,-123.111944
1134842f-41dc-483b-9453-b3ada8d30cb1,Los Angeles Football Club at Vancouver Whitecaps,2018,4,13,19,0,Sports,Soccer,BC Place,843 Pacific Boulevard,V6B 4Y74,49.276666999999996,-123.111944
715d854c-864e-4252-9b67-5a825115c6e6,Real Salt Lake at Vancouver Whitecaps,2018,4,27,19,30,Sports,Soccer,BC Place,844 Pacific Boulevard,V6B 4Y75,49.276666999999996,-123.111944
f9b9d5aa-16d4-422b-8cba-85ff2a0f0dce,Houston Dynamo at Vancouver Whitecaps,2018,5,11,19,30,Sports,Soccer,BC Place,845 Pacific Boulevard,V6B 4Y76,49.276666999999996,-123.111944
f4c62b54-4426-4e84-be27-1d6a763e3f4b,San Jose Earthquakes at Vancouver Whitecaps,2018,5,16,19,30,Sports,Soccer,BC Place,846 Pacific Boulevard,V6B 4Y77,49.276666999999996,-123.111944
bf8f8104-1c9f-40d5-87a3-8ee3ec774316,New England Revolution at Vancouver Whitecaps,2018,5,26,14,30,Sports,Soccer,BC Place,847 Pacific Boulevard,V6B 4Y78,49.276666999999996,-123.111944
ffec7d5b-a354-4e62-82e3-802df2bd2dcf,Orlando City SC at Vancouver Whitecaps,2018,6,9,16,0,Sports,Soccer,BC Place,848 Pacific Boulevard,V6B 4Y79,49.276666999999996,-123.111944
2fb845b0-2ba4-4021-bb3d-f90a6df3b8ae,Colorado Rapids at Vancouver Whitecaps,2018,7,1,16,0,Sports,Soccer,BC Place,849 Pacific Boulevard,V6B 4Y80,49.276666999999996,-123.111944
af872c6f-ae13-449f-8ac6-837444d9072b,Chicago Fire FC at Vancouver Whitecaps,2018,7,7,19,30,Sports,Soccer,BC Place,850 Pacific Boulevard,V6B 4Y81,49.276666999999996,-123.111944
bfd0009b-a932-4fe5-bfb6-a0065062426f,Montreal Impact at Vancouver Whitecaps,2018,7,25,19,0,Sports,Soccer,BC Place,851 Pacific Boulevard,V6B 4Y82,49.276666999999996,-123.111944
