date_key,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name
c57a7f92-a958-4416-93e5-0867638c2144,2016,3,27,Sunday,True,False,
2e049fc0-eea6-4e3f-a4fb-bb06f95a47e9,2015,1,31,Saturday,True,False,
c81fc10a-6017-40e5-8eae-cd2601425992,2017,5,19,Friday,False,False,
a2471e3c-8b33-41b8-bf8d-c6cca21de493,2018,11,28,Wednesday,False,False,
97e1e9ec-ba88-46a8-af85-b2ea981e416b,2019,5,27,Monday,False,False,
2bba6e39-aca8-43f9-98e6-f561905ce268,2018,5,15,Tuesday,False,False,
ed3aa461-dd08-40ea-8a67-dcdcde4db4d0,2018,10,19,Friday,False,False,
29b35190-d692-4150-ab8d-7d74cfaad11b,2019,7,3,Wednesday,False,False,
34497ed2-4d1e-4dce-8d2f-2e16e7c8b378,2018,5,30,Wednesday,False,False,
d5816ea0-86ef-450d-b885-023920ce173b,2018,7,17,Tuesday,False,False,
2b76de9f-1965-4e48-ad3b-8a3a8f3c9776,2018,3,23,Friday,False,False,
9e3f8e34-a339-4380-8c0b-850283b0df87,2019,3,11,Monday,False,False,
a2c66b94-272a-49a7-bca1-9a694e36ef3f,2015,3,25,Wednesday,False,False,
238966a9-623e-4c1c-80f7-4aa7eed0541e,2019,6,8,Saturday,True,False,
20aba072-8a9d-4b97-828e-69207bbeb41b,2016,2,4,Thursday,False,False,
a9ff2e46-407a-4a3a-9427-d76387e90e7d,2018,2,22,Thursday,False,False,
21488709-ca11-428f-8840-890a4b92533c,2018,9,29,Saturday,True,False,
57ad31e3-7efd-43ab-8533-6854123c8b10,2019,10,17,Thursday,False,False,
a4213bd5-df0f-429b-b5ff-e87651bfecee,2016,9,19,Monday,False,False,
7332902c-d1db-459e-92c0-eae60dca98e2,2015,1,29,Thursday,False,False,
c81b300b-53b1-4b73-ae22-85a192bd2943,2019,12,1,Sunday,True,False,
c149c3e1-87e7-4ea5-ae5e-e97748a0b5a9,2017,7,23,Sunday,True,False,
0f623782-809c-4412-a3f1-de0c1b5622b0,2019,1,10,Thursday,False,False,
51cedd45-dbf1-423a-b095-31abbc5d3f02,2018,4,5,Thursday,False,False,
c6b80005-9ef0-4783-8e44-d3742375e2ff,2017,12,27,Wednesday,False,False,
52ce3a34-da75-41d8-83d6-50947015d6ee,2019,11,6,Wednesday,False,False,
